CrimeDate,TotalVolume,Code1,Code2,Code3,Code4,Code5,Code6,Code7,Code8,Code9,Inside,Outside,InsideOutsideUnk,TempMAX,TempMIN
1/1/2011,185,2,3,7,69,21,66,15,1,1,93,91,1,59,29
1/2/2011,102,1,1,11,20,19,40,8,0,2,49,48,5,60,33
1/3/2011,106,0,3,10,28,21,35,9,0,0,51,54,1,39,24
1/4/2011,113,0,1,4,43,12,41,10,0,2,63,49,1,45,20
1/5/2011,131,1,1,8,37,28,44,11,0,1,75,54,2,40,22
1/6/2011,107,0,1,7,28,17,48,3,1,2,58,48,1,39,21
1/7/2011,150,0,1,21,46,24,47,10,1,0,76,66,8,34,24
1/8/2011,106,0,1,9,40,14,32,8,0,2,61,45,0,33,22
1/9/2011,98,3,1,14,33,8,33,5,1,0,53,45,0,35,21
1/10/2011,115,2,0,10,33,14,38,17,1,0,55,58,2,36,19
1/11/2011,120,0,1,15,23,26,43,10,0,2,68,51,1,31,22
1/12/2011,76,0,0,2,25,14,27,8,0,0,46,30,0,33,21
1/13/2011,114,0,1,9,29,23,35,16,1,0,66,47,1,35,22
1/14/2011,115,0,0,10,25,21,41,17,1,0,57,57,1,34,19
1/15/2011,121,0,0,7,29,14,52,18,0,1,55,64,2,41,24
1/16/2011,94,0,2,9,30,20,27,6,0,0,57,36,1,40,25
1/17/2011,110,0,0,10,28,31,29,9,0,3,66,44,0,30,25
1/18/2011,108,0,1,5,27,24,43,7,0,1,60,47,1,36,27
1/19/2011,113,0,0,15,31,23,38,4,1,1,71,38,4,50,32
1/20/2011,138,1,1,18,39,29,36,13,1,0,85,53,0,43,29
1/21/2011,118,0,0,9,32,25,40,12,0,0,68,48,2,36,18
1/22/2011,122,1,1,16,37,20,39,6,1,1,68,53,1,25,12
1/23/2011,106,1,0,12,30,16,36,9,0,2,58,47,1,29,12
1/24/2011,112,1,0,16,22,24,36,11,2,0,50,61,1,29,8
1/25/2011,107,0,0,6,27,24,37,12,0,1,59,48,0,45,25
1/26/2011,81,0,0,9,24,15,26,7,0,0,40,40,1,35,32
1/27/2011,72,0,0,8,15,12,27,6,1,3,40,32,0,36,26
1/28/2011,127,1,1,12,35,26,39,11,0,2,73,52,2,35,27
1/29/2011,84,0,0,6,28,12,31,6,0,1,40,44,0,34,20
1/30/2011,95,1,2,6,35,15,29,6,0,1,54,39,2,42,18
1/31/2011,94,0,0,3,32,14,36,9,0,0,60,34,0,32,25
2/1/2011,110,0,1,7,34,16,42,10,0,0,60,50,0,34,28
2/2/2011,100,1,0,6,31,17,35,7,2,1,52,44,4,46,31
2/3/2011,97,0,1,9,19,24,39,4,1,0,61,34,2,34,23
2/4/2011,119,0,1,12,37,22,29,18,0,0,64,52,3,41,22
2/5/2011,101,0,0,6,36,16,34,9,0,0,54,47,0,40,33
2/6/2011,94,0,0,4,43,11,32,4,0,0,55,39,0,47,30
2/7/2011,111,1,0,6,31,23,38,12,0,0,60,50,1,48,26
2/8/2011,104,1,0,6,30,29,35,3,0,0,65,36,3,39,22
2/9/2011,99,0,3,8,26,17,38,7,0,0,61,38,0,34,16
2/10/2011,114,0,0,5,34,20,44,10,1,0,71,43,0,32,16
2/11/2011,118,1,0,11,32,27,40,6,0,1,71,47,0,45,13
2/12/2011,120,0,1,9,34,15,43,16,0,2,54,65,1,45,18
2/13/2011,104,0,0,9,37,16,32,6,2,2,54,49,1,53,25
2/14/2011,124,0,2,9,37,29,38,9,0,0,77,47,0,67,41
2/15/2011,103,1,0,5,38,14,38,6,1,0,55,46,2,46,24
2/16/2011,110,1,1,6,35,23,36,8,0,0,65,43,2,57,24
2/17/2011,117,1,1,9,29,29,40,8,0,0,68,49,0,71,41
2/18/2011,130,0,2,5,45,21,46,9,1,1,60,67,3,74,51
2/19/2011,113,1,0,6,39,15,41,9,0,2,55,56,2,56,35
2/20/2011,116,1,0,10,37,18,41,6,0,3,69,47,0,51,29
2/21/2011,107,0,0,6,43,15,34,9,0,0,65,40,2,42,27
2/22/2011,75,0,1,5,22,6,34,6,0,1,40,32,3,37,23
2/23/2011,92,0,0,10,33,22,19,7,0,1,63,28,1,45,18
2/24/2011,121,0,0,13,33,26,37,11,0,1,71,46,4,50,23
2/25/2011,122,0,2,12,40,20,34,13,0,1,67,51,4,67,34
2/26/2011,147,0,0,13,49,22,41,19,3,0,72,74,1,46,32
2/27/2011,101,1,0,6,45,16,28,5,0,0,58,41,2,61,32
2/28/2011,139,0,0,13,47,31,34,13,1,0,78,57,4,68,42
3/1/2011,135,1,3,6,46,20,53,5,1,0,68,64,3,49,30
3/2/2011,128,0,0,3,49,22,35,16,2,1,69,58,1,62,30
3/3/2011,120,0,2,6,39,22,36,12,3,0,63,54,3,39,25
3/4/2011,160,0,0,10,58,17,64,8,3,0,83,73,4,48,27
3/5/2011,136,2,1,12,48,11,44,17,1,0,80,55,1,63,39
3/6/2011,124,1,1,7,48,14,45,7,0,1,59,62,3,57,37
3/7/2011,129,0,1,7,42,22,52,4,1,0,80,46,3,50,34
3/8/2011,136,1,0,14,50,24,38,8,0,1,81,53,2,49,27
3/9/2011,118,0,0,9,38,27,37,6,0,1,76,40,2,47,34
3/10/2011,118,0,1,8,35,18,44,10,0,2,67,47,4,58,45
3/11/2011,149,0,2,9,47,26,56,5,1,3,83,59,7,52,40
